oldobjectid,objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,,in drive,original filename,display_template,object_location,image_small,image_thumb
uiblackhistory313,h13_121,h13_121.jpg,Black Cultural Week,,Handmade Black Cultural Week Flyer with events listed,,no,Black University Life,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har16,y,H13 121.jpg,,/objects/h13_121.pdf,/objects/small/h13_121_sm.jpg,/objects/thumbs/h13_121_th.jpg
uiblackhistory318,h13_145,h13_145.pdf,Correspondence regarding the Black Student Union funds,Ernest W. Hartung,Letter to R A Hughes concerning funds for the BSU and the construction of a Black cultural center.,1971-03-19,no,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har22,y; combined,H13 145.jpg; H13 146.jpg      BSU March 1971 3.jpg,,/objects/h13_145.pdf,/objects/small/h13_145_sm.jpg,/objects/thumbs/h13_145_th.jpg
uiblackhistory298,h13_99,h13_99.pdf,"Memorandum regarding ""A Position Paper Relating to the Tentative Proposal to Establish Specialized Educational and Service Programs for 'Minority' and 'Culturally Deprived' Students""",Student Counseling Center Staff,Memorandum that refutes the position held in the mentioned posiiton paper that states no one group has unique issues.,1971-03-03,no,Minoirty Student Programs,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har2,y; combined,H13 99.jpg; H13 100.jpg,,/objects/h13_99.pdf,/objects/small/h13_99_sm.jpg,/objects/thumbs/h13_99_th.jpg
uiblackhistory057,h16,h16.pdf,Memorandum regarding Black Studies funds,Robert W. Coonrod,"Memorandum from Robert W. Coonrod to the Business Office with a request to transfer of $1,000 from the Office of Intercultural Programs to Dean of Letters and Science to fund Black Studies Courses for the 1971-1972 academic year.",1971-06-10,,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h16,y,H16.jpg,,/objects/h16.pdf,/objects/small/h16_sm.jpg,/objects/thumbs/h16_th.jpg
uiblackhistory058,h17,h17.pdf,"Memorandum regarding budget for ""Black Studies"" courses",Siegfried B. Rolland,Memorandum from Siegfried B. Rolland to Robert W. Coonrod regarding a $1000 transfer for Negro history and Black literature courses.,1971-06-02,,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h17,y,H17.jpg,,/objects/h17.pdf,/objects/small/h17_sm.jpg,/objects/thumbs/h17_th.jpg
uiblackhistory059,h19,h19.pdf,Handwritten memorandum regarding New Interinstitutional Study Council,J. H. Sullivan,Handwritten memorandum to Vice President Coonrod from J. H. Sullivan requesting Coonrod to look over proposal.,1971-05-12,,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h19,y,H19.jpg,,/objects/h19.pdf,/objects/small/h19_sm.jpg,/objects/thumbs/h19_th.jpg
uiblackhistory060,h2,h2.pdf,Memorandum regarding budgeting Black Studies' funds ,Robert W. Coonrod,"Memorandum from Robert W. Coonrod to Joe Watts discussing the allocation of $2000.  Also includes recommendations for funds with $1,490 to purchasing books; $410 to audio-visual service; and $100 to the History Department for one to two speaker stipends.",1970-12-18,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h2,y,H2.jpg,,/objects/h2.pdf,/objects/small/h2_sm.jpg,/objects/thumbs/h2_th.jpg
uiblackhistory061,h20,h20.pdf,Correspondence to the members of the Pacific Northwest Intercultural Study Council,G. A. Haas,Letter from Whitworth College noting three attached copies of the Pacific Northwest Intercultural Study Council and notes a conflict with Amendment VII.,1971-04-04,,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h20,y,H20.jpg,,/objects/h20.pdf,/objects/small/h20_sm.jpg,/objects/thumbs/h20_th.jpg
uiblackhistory062,h21,h21.pdf,Pacific Northwest Intercultural Study Council memorandum of agreement,,Blank Pacific Northwest Intercultural Study Council memorandum of agreement form.,1971,y,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h21,y,H21.jpg,,/objects/h21.pdf,/objects/small/h21_sm.jpg,/objects/thumbs/h21_th.jpg
uiblackhistory049,h22,h22.pdf,Memorandum regarding co-ordinator for Black Student Union from S.B. Rolland to Bob Coonrod ,Siegfried B. Rolland,"Memorandum discussing meeting with Professor Willard Barnes, Ron Bruce (a Black student), and Eddie Robinson to discuss Robinson's consideration for a scholarship to co-ordinate B.S.U. activities. Rolland backs Robinson's application to scholaship and includes questions in regard to the creation of B.S.U. coordinator position.",1971-06-01,,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h22,y,H22.jpg,,/objects/h22.pdf,/objects/small/h22_sm.jpg,/objects/thumbs/h22_th.jpg
uiblackhistory063,h23,h23.pdf,Correspondence with Dr. Sorenson regarding available courses related to Black history,Ernest W. Hartung,"Letter from President Ernest Hartung to Dr. Kirk M. Sorenson; the Associate Director of the Higher Education for Research and Planning in the Idaho Office of Higher Education.  Letter lists seven courses and the letter also notes that there is no official ""Black Studies Program.""",1971-06-18,,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h23,y; combined,H23.jpg; H24.jpg,,/objects/h23.pdf,/objects/small/h23_sm.jpg,/objects/thumbs/h23_th.jpg
uiblackhistory065,h25,h25.pdf,Memorandum to Dr. Hartung,Siegfried B. Rolland,Typewritten memorandum with handwritten notes and a received stamp from Siegfried B. Rolland to Dr. Ernest W. Hartung. ,1971-06-15,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h25,y,H25.jpg,,/objects/h25.pdf,/objects/small/h25_sm.jpg,/objects/thumbs/h25_th.jpg
uiblackhistory066,h26,h26.pdf,State of Idaho Board of Education memorandum about Idaho's Black Studies programs,Kirk Sorensen,Memorandum from Kirk Sorenson to Ernest Hartung asking for information regarding Idaho’s black studies programs.  It also has note a attached for Rolland to write brief response for Sorenson.,1971-06-08,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h26,y,H26.jpg,,/objects/h26.pdf,/objects/small/h26_sm.jpg,/objects/thumbs/h26_th.jpg
uiblackhistory067,h27,h27.pdf,Southern Illinois University correspondence regarding Black Studies curriculum in American colleges and universities,Hank Wilson,"Letter from Hank Wilson; the Coordinator of Community Relations under the Office of Higher Education and the State Board of Education.  The letter talks about Wilson's research project ""Toward a Model with Rationale for Black Studies Curriculum"" which deals with Black Studies Programs at universities in the US.",1971-06-01,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h27,y,H27.jpg,,/objects/h27.pdf,/objects/small/h27_sm.jpg,/objects/thumbs/h27_th.jpg
uiblackhistory044,h28,h28.pdf,"Memorandum regarding Black student recruitment: ""Financial Aids""",Sherman Carter; Charles O. Decker,Memorandum from Dr. Sherman Carter and Charles O. Decker to Ernest Hartung concerning “Black Student Recruitment: ‘Financial aids’.”  Lists financial aid packages for several Black students.,1970-12-15,,Black Student Recruitment/Affirmative Action,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h28,y,H28.jpg,,/objects/h28.pdf,/objects/small/h28_sm.jpg,/objects/thumbs/h28_th.jpg
uiblackhistory045,h29,h29.pdf,Correspondence from Charles O. Decker to Black student recruiters regarding financial aids,Charles O. Decker,Memorandum to Black student recruiters concerning basic information for financial aid for five students during the second semester of the 1970-1971 academic year.,1970-12-11,,Black Student Recruitment/Affirmative Action,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h29,y; combined,H29.jpg,,/objects/h29.pdf,/objects/small/h29_sm.jpg,/objects/thumbs/h29_th.jpg
uiblackhistory068,h3,h3.pdf,Memorandum regarding apportionment of funds for Negro History Course,Siegfried B. Rolland; Willard Barnes,"Memorandum discussing the breakdown of the current History Department for ""Negro History"" course budget with new allocation of funds towards library and audio-visual. There are handwritten notes of the new revised budget for the course toward the bottom of the document.",1970-12-08,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h3,y,H3.jpg,,/objects/h3.pdf,/objects/small/h3_sm.jpg,/objects/thumbs/h3_th.jpg
uiblackhistory046,h33,h33.pdf,Memorandum from Sherman Carter to Charles O. Decker regarding a previous memorandum about financial aids,Sherman Carter,"Memorandum applauding a previous memorandum from Decker on Dec 11, 1970 and committing to help in the offerring of five $1,300 packages for financial aid.",1970-12-23,,Black Student Recruitment/Affirmative Action,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h33,y,H33.jpg,,/objects/h33.pdf,/objects/small/h33_sm.jpg,/objects/thumbs/h33_th.jpg
uiblackhistory047,h34,h34.pdf; same as h28.pdf,"Memorandum regarding Black Student recruit: ""Financial Aids""","Dr. Sherman Carter, Financial Vice President; Charles O. Decker, Dean of Students",,1970-12-15,,Black Student Recruitment/Affirmative Action,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h34,y,H34.jpg,,/objects/h34.pdf,/objects/small/h34_sm.jpg,/objects/thumbs/h34_th.jpg
uiblackhistory069,h39,h39.pdf,"Memorandum regarding ""Black Literature Course Support for AV and Outside Speakers""",Jack L. Davis,Memorandum to VP Coonrod discussing the continued assistance for the Black Literature course and the tighter restraint of funds from $500 to $400.,1972-06-05,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 21, Folder 486",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h39,y,H39.jpg,,/objects/h39.pdf,/objects/small/h39_sm.jpg,/objects/thumbs/h39_th.jpg
uiblackhistory070,h4,h4.pdf,Memorandum regarding Black Literature funds,Jack Davis,Memorandum to Bob Coonrod from Jack Davis stating that the funds for the Black Literature will be spent exclusively on library acquisitions. ,1970-11-27,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h4,y,H4.jpg,,/objects/h4.pdf,/objects/small/h4_sm.jpg,/objects/thumbs/h4_th.jpg
